Date,AMGN,CVS,ELV,PFE,UNH
2010-01-04,42.488059997558594,24.86959457397461,49.797794342041016,10.908780097961426,25.890960693359375
2010-01-05,42.120018005371094,24.77156639099121,50.339534759521484,10.75318431854248,25.84990692138672
2010-01-06,41.803489685058594,24.55288314819336,51.156288146972656,10.718612670898438,26.10445785522461
2010-01-07,41.42070007324219,25.45778465270996,53.05652618408203,10.67827320098877,27.106266021728516
2010-01-08,41.78877258300781,25.638763427734375,53.289878845214844,10.764710426330566,26.851707458496094
2010-01-11,41.9727897644043,25.585979461669922,53.5982666015625,10.851150512695312,27.032365798950195
2010-01-12,41.24406433105469,25.30695915222168,52.88983154296875,10.816574096679688,26.317970275878906
2010-01-13,41.612098693847656,25.61614227294922,54.1483268737793,11.07012939453125,26.720327377319336
2010-01-14,41.339752197265625,25.601058959960938,55.19012451171875,11.16810131072998,27.36081886291504
2010-01-15,41.40598678588867,25.57088851928711,55.548492431640625,11.231490135192871,27.713932037353516
2010-01-19,42.3629264831543,25.601058959960938,56.723636627197266,11.525385856628418,28.847103118896484
2010-01-20,42.105289459228516,25.591981887817383,56.40693283081055,11.490809440612793,28.370851516723633
2010-01-21,41.685707092285156,25.13080596923828,54.59004592895508,11.087422370910645,27.18017578125
2010-01-22,41.663631439208984,25.13080596923828,54.25667190551758,10.926067352294922,27.229442596435547
2010-01-25,41.00849533081055,24.97958755493164,54.63172912597656,10.862674713134766,27.09804916381836
2010-01-26,41.648921966552734,24.80569839477539,53.239871978759766,10.822334289550781,26.638206481933594
2010-01-27,42.502784729003906,24.548643112182617,53.85662841796875,10.949116706848145,27.295146942138672
2010-01-28,42.75305938720703,24.442806243896484,53.689945220947266,10.735896110534668,27.451152801513672
2010-01-29,43.04750061035156,24.473041534423828,53.10652160644531,10.75318431854248,27.09804916381836
2010-02-01,43.224178314208984,24.88886070251465,53.50656509399414,10.828100204467773,27.204814910888672
2010-02-02,43.599586486816406,25.236637115478516,54.21499252319336,11.087422370910645,27.960264205932617
2010-02-03,43.481815338134766,24.510841369628906,53.39822769165039,10.831472396850586,27.36081886291504
2010-02-04,42.34820556640625,23.550670623779297,52.36478042602539,10.488259315490723,26.654632568359375
2010-02-05,42.45862579345703,23.49018669128418,51.41465377807617,10.447539329528809,26.720327377319336
2010-02-08,42.296688079833984,24.73764991760254,51.38132858276367,10.377734184265137,26.613567352294922
2010-02-09,42.11265182495117,24.73764991760254,51.21462631225586,10.400999069213867,27.09804916381836
2010-02-10,41.84029006958008,24.74521827697754,50.014488220214844,10.319562911987305,26.85991668701172
2010-02-11,41.59001541137695,25.108116149902344,50.43952941894531,10.395185470581055,27.19659423828125
2010-02-12,41.57529830932617,24.941795349121094,49.447750091552734,10.354464530944824,26.42470932006836
2010-02-16,41.950721740722656,25.34249496459961,48.722660064697266,10.307927131652832,25.97307586669922
2010-02-17,42.105289459228516,25.697830200195312,49.756126403808594,10.27884292602539,26.728540420532227
2010-02-18,42.156822204589844,25.796112060546875,49.26439666748047,10.313748359680176,26.8435001373291
2010-02-19,42.2377815246582,25.939760208129883,48.73100280761719,10.464988708496094,26.227643966674805
2010-02-22,42.03167724609375,25.871721267700195,49.53941345214844,10.441717147827148,27.16374969482422
2010-02-23,41.50168991088867,25.818790435791016,49.18104553222656,10.27884292602539,26.942039489746094
