Date,F,GE,NEE,SO,UNP
2010-01-04,6.238596439361572,68.13465118408203,8.992378234863281,18.05682373046875,24.697856903076172
2010-01-05,6.651266098022461,68.48746490478516,8.904565811157227,17.69297218322754,25.041563034057617
2010-01-06,6.900083065032959,68.13465118408203,8.992378234863281,17.94278335571289,25.079336166381836
2010-01-07,7.076071739196777,71.6626968383789,8.967049598693848,17.86675262451172,24.85648536682129
2010-01-08,7.09428071975708,73.20613098144531,8.889366149902344,17.828733444213867,25.698762893676758
2010-01-11,7.349161624908447,73.9117431640625,8.882612228393555,18.062253952026367,25.528797149658203
2010-01-12,7.203516483306885,73.95587158203125,8.66645622253418,17.94820213317871,25.45326042175293
2010-01-13,7.088210105895996,74.220458984375,8.696854591369629,18.203453063964844,25.483470916748047
2010-01-14,7.1367597579956055,73.64715576171875,8.445237159729004,18.159997940063477,25.07178497314453
2010-01-15,7.039660930633545,72.50056457519531,8.536430358886719,18.10569953918457,24.765850067138672
2010-01-19,7.1306939125061035,72.94156646728516,8.593842506408691,18.274045944213867,24.746946334838867
2010-01-20,6.985045433044434,72.76517486572266,8.440171241760254,18.154571533203125,24.070871353149414
2010-01-21,6.784778594970703,70.64836120605469,8.279743194580078,18.002517700195312,24.72051239013672
2010-01-22,6.384243965148926,71.04527282714844,8.129446029663086,17.67125129699707,24.11618995666504
2010-01-25,6.693746089935303,72.1918716430664,8.063589096069336,17.81244468688965,24.078428268432617
2010-01-26,6.7908453941345215,72.10366821289062,8.3118314743042,17.904767990112305,24.24838638305664
2010-01-27,7.0093159675598145,71.88317108154297,8.403021812438965,17.87217903137207,24.10108757019043
2010-01-28,6.924357891082764,71.2657470703125,8.27636432647705,17.584880828857422,23.24370574951172
2010-01-29,6.578442096710205,70.91297912597656,8.234147071838379,17.612398147583008,22.85089874267578
2010-02-01,6.748363971710205,71.6626968383789,8.313518524169922,17.612398147583008,23.534536361694336
2010-02-02,6.912220478057861,74.30865478515625,8.372620582580566,17.69495391845703,23.76871681213379
2010-02-03,7.063933372497559,73.5589828491211,8.342226028442383,17.612398147583008,23.787601470947266
2010-02-04,6.7119550704956055,70.7365493774414,8.109182357788086,17.381235122680664,23.032197952270508
2010-02-05,6.620923042297363,69.63406372070312,8.00448226928711,17.447288513183594,23.45522117614746
2010-02-08,6.65733528137207,68.79615783691406,7.918356895446777,17.133567810058594,23.028417587280273
2010-02-09,6.76657247543335,68.79615783691406,7.845743179321289,17.221622467041016,23.319252014160156
2010-02-10,6.639130115509033,69.19305419921875,7.7545552253723145,17.21611976623535,23.307920455932617
2010-02-11,6.784778594970703,69.54586791992188,7.761306285858154,17.23813247680664,24.025554656982422
2010-02-12,6.748363971710205,68.57563781738281,7.695448398590088,17.155569076538086,23.95001220703125
2010-02-16,6.869734764099121,70.7365493774414,7.8322343826293945,17.546356201171875,24.610990524291992
2010-02-17,6.972907066345215,71.22166442871094,7.729226112365723,17.41425895690918,24.54300880432129
2010-02-18,6.906152725219727,71.61853790283203,7.724160671234131,17.507829666137695,24.667631149291992
2010-02-19,6.851532936096191,71.30986022949219,7.916671276092529,17.77201271057129,25.14354133605957
2010-02-22,6.802984714508057,71.6626968383789,7.906543254852295,17.799530029296875,25.249303817749023
2010-02-23,7.039660930633545,70.33966064453125,7.903161525726318,17.623403549194336,25.07555389404297
2010-02-24,7.11855411529541,71.08937072753906,8.032890319824219,17.683942794799805,25.36378288269043
2010-02-25,7.148897647857666,70.64561462402344,8.002163887023926,17.617902755737305,25.962989807128906
2010-02-26,7.124622821807861,71.26685333251953,7.915109157562256,17.48581314086914,25.549604415893555
2010-03-01,7.531222343444824,70.55684661865234,8.08751106262207,17.645421981811523,25.674762725830078
2010-03-02,7.415919780731201,70.55684661865234,8.055078506469727,17.73898696899414,25.511688232421875
2010-03-03,7.701146125793457,71.13374328613281,8.010697364807129,17.711467742919922,25.488929748535156
2010-03-04,7.761834144592285,71.4887466430664,8.065321922302246,17.77201271057129,25.811296463012695
2010-03-05,7.889276027679443,72.55377197265625,8.133599281311035,17.73348045349121,26.217082977294922
2010-03-08,7.846795082092285,72.19874572753906,8.150667190551758,17.805034637451172,26.353601455688477
2010-03-09,7.767902851104736,73.17500305175781,8.026060104370117,17.78302001953125,26.865585327148438
2010-03-10,7.780041217803955,73.26373291015625,8.017525672912598,17.810537338256836,27.153806686401367
2010-03-11,7.834658145904541,73.13063049316406,8.08580493927002,17.887592315673828,27.495128631591797
2010-03-12,8.095610618591309,75.61565399169922,8.034598350524902,17.876585006713867,27.68474769592285
2010-03-15,8.1320219039917,76.72500610351562,8.075563430786133,18.085729598999023,27.65062141418457
2010-03-16,8.186639785766602,80.18629455566406,8.167737007141113,18.278371810913086,27.855409622192383
2010-03-17,8.556830406188965,80.05316925048828,8.196755409240723,18.410463333129883,27.76439094543457
2010-03-18,8.332287788391113,80.71881103515625,8.188220977783203,18.371932983398438,27.93124771118164
2010-03-19,8.065268516540527,80.18629455566406,8.220651626586914,18.261859893798828,27.775768280029297
2010-03-22,8.490071296691895,80.18629455566406,8.166028022766113,18.223329544067383,28.063989639282227
2010-03-23,8.435456275939941,81.34007263183594,8.162616729736328,18.355424880981445,27.950223922729492
2010-03-24,8.435456275939941,81.8725814819336,8.068735122680664,18.17929458618164,27.65062141418457
2010-03-25,8.37476921081543,81.2069320678711,8.099462509155273,18.168285369873047,27.559598922729492
2010-03-26,8.411179542541504,81.38442993164062,8.160910606384277,18.217830657958984,27.555801391601562
2010-03-29,8.235190391540527,81.65069580078125,8.292348861694336,18.34992027282715,27.904705047607422
