Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2010-01-04,6.496293544769287,6.695000171661377,15.684433937072754,23.572368621826172,4.241589069366455
2010-01-05,6.5075249671936035,6.734499931335449,15.615365028381348,23.579986572265625,4.303526401519775
2010-01-06,6.404014587402344,6.612500190734863,15.221721649169922,23.43527603149414,4.331054210662842
2010-01-07,6.392178058624268,6.5,14.867366790771484,23.191553115844727,4.2461771965026855
2010-01-08,6.434673309326172,6.676000118255615,15.065566062927246,23.35149383544922,4.255352973937988
2010-01-11,6.377908706665039,6.515500068664551,15.042793273925781,23.05446434020996,4.195709705352783
2010-01-12,6.305360794067383,6.367499828338623,14.776777267456055,22.902137756347656,4.053483009338379
2010-01-13,6.394300937652588,6.45550012588501,14.69194221496582,23.115388870239258,4.1085381507873535
2010-01-14,6.357268333435059,6.367499828338623,14.761011123657227,23.579986572265625,4.044306755065918
2010-01-15,6.251025676727295,6.35699987411499,14.514514923095703,23.503822326660156,3.9250195026397705
2010-01-19,6.527562141418457,6.380499839782715,14.705204963684082,23.68661117553711,3.9984278678894043
2010-01-20,6.427084922790527,6.289000034332275,14.524774551391602,23.298181533813477,3.9823687076568604
2010-01-21,6.315984725952148,6.330999851226807,14.589089393615723,22.8564395904541,3.911255359649658
2010-01-22,6.002719402313232,6.071499824523926,13.76401424407959,22.05672836303711,3.775909900665283
2010-01-25,6.164209842681885,6.015500068664551,13.513513565063477,22.330913543701172,3.8401405811309814
2010-01-26,6.251330375671387,5.973999977111816,13.574073791503906,22.4680118560791,3.7185604572296143
2010-01-27,6.310218811035156,6.137499809265137,13.566065788269043,22.597490310668945,3.8194937705993652
2010-01-28,6.049466609954834,6.301499843597412,13.370620727539062,22.20905113220215,3.6910316944122314
2010-01-29,5.830000400543213,6.270500183105469,13.261761665344238,21.462656021118164,3.530452013015747
2010-02-01,5.911048412322998,5.94350004196167,13.338838577270508,21.63783836364746,3.801143169403076
2010-02-02,5.945348262786865,5.906000137329102,13.291291236877441,21.675920486450195,3.8401405811309814
2010-02-03,6.047645568847656,5.954999923706055,13.53403377532959,21.80539321899414,3.8722567558288574
2010-02-04,5.8296966552734375,5.796999931335449,13.182682991027832,21.203712463378906,3.6474454402923584
2010-02-05,5.9332075119018555,5.869500160217285,13.29554557800293,21.34079933166504,3.720853805541992
2010-02-08,5.892531394958496,5.8414998054504395,13.350099563598633,21.1123104095459,3.7139720916748047
2010-02-09,5.955368518829346,5.901500225067139,13.424424171447754,21.33318328857422,3.6841495037078857
2010-02-10,5.922886371612549,5.868000030517578,13.374625205993652,21.31795310974121,3.7552645206451416
2010-02-11,6.030647277832031,6.004499912261963,13.423422813415527,21.41695785522461,3.9273123741149902
2010-02-12,6.082553863525391,5.982999801635742,13.341341018676758,21.272253036499023,3.980074167251587
2010-02-16,6.174226760864258,5.876500129699707,13.546046257019043,21.693103790283203,4.053483009338379
2010-02-17,6.148425579071045,5.815499782562256,13.468718528747559,21.876750946044922,4.0924787521362305
2010-02-18,6.15995979309082,5.9039998054504395,13.594094276428223,22.167518615722656,3.824082851409912
2010-02-19,6.121711730957031,5.875999927520752,13.532532691955566,22.01448631286621,3.8034374713897705
2010-02-22,6.083768367767334,5.9004998207092285,13.58358383178711,21.983877182006836,3.8103182315826416
