Date,JNJ,LLY,MRK,NVO,RHHBY
2010-01-04,43.63311004638672,23.912830352783203,22.429792404174805,10.137497901916504,13.602182388305664
2010-01-05,43.127166748046875,23.492258071899414,22.520706176757812,9.98923397064209,13.397684097290039
2010-01-06,43.477962493896484,23.66582489013672,22.823726654052734,10.106612205505371,13.515424728393555
2010-01-07,43.16765213012695,23.545663833618164,22.86008071899414,10.020121574401855,13.351204872131348
2010-01-08,43.31606674194336,23.365415573120117,22.847963333129883,10.139042854309082,13.537113189697266
2010-01-11,43.32279968261719,23.685850143432617,22.938875198364258,10.46027946472168,13.688940048217773
2010-01-12,43.55216979980469,23.605741500854492,22.757064819335938,10.361437797546387,13.493732452392578
2010-01-13,43.82875442504883,23.932851791381836,23.593406677246094,10.447922706604004,13.636263847351074
2010-01-14,43.91645050048828,24.033004760742188,24.23581314086914,10.653329849243164,13.9058256149292
2010-01-15,43.55216979980469,23.912830352783203,23.920669555664062,10.236339569091797,13.930617332458496
2010-01-19,44.08509826660156,24.97428321838379,24.61762237548828,10.387691497802734,13.989485740661621
2010-01-20,43.950172424316406,24.900859832763672,24.866106033325195,10.376879692077637,13.834565162658691
2010-01-21,43.1541633605957,24.106441497802734,24.29035186767578,10.00622272491455,13.840760231018066
2010-01-22,42.634708404541016,23.71255111694336,23.557044982910156,9.93826961517334,13.648655891418457
2010-01-25,42.648197174072266,23.866100311279297,23.49037742614746,10.174562454223633,13.493732452392578
2010-01-26,42.35812759399414,24.139812469482422,23.381288528442383,10.508155822753906,13.605277061462402
2010-01-27,42.7966194152832,24.29335594177246,23.417644500732422,10.73981761932373,13.571195602416992
2010-01-28,43.03947067260742,23.866100311279297,23.011594772338867,10.602364540100098,13.338811874389648
2010-01-29,42.40532684326172,23.498929977416992,23.138864517211914,10.413946151733398,12.997984886169434
2010-02-01,42.56049346923828,23.365415573120117,23.211597442626953,10.79078197479248,13.186988830566406
2010-02-02,43.16765213012695,23.779325485229492,23.963090896606445,10.650240898132324,13.320218086242676
2010-02-03,42.92478942871094,23.57236099243164,23.46613311767578,10.990012168884277,13.183890342712402
2010-02-04,42.256935119628906,23.14511489868164,22.484333038330078,10.789237022399902,12.697430610656738
2010-02-05,42.256935119628906,23.044971466064453,22.260107040405273,10.716652870178223,12.285343170166016
2010-02-08,42.07477951049805,23.218542098999023,22.175251007080078,10.67803955078125,12.681941986083984
2010-02-09,42.33787536621094,23.498929977416992,22.10253143310547,10.736729621887207,12.858553886413574
2010-02-10,42.31764602661133,23.133346557617188,21.93889617919922,10.679586410522461,12.719120979309082
2010-02-11,42.43907165527344,23.133346557617188,22.351009368896484,10.911247253417969,12.951507568359375
2010-02-12,42.31089401245117,22.98440933227539,22.375255584716797,11.027076721191406,12.858553886413574
2010-02-16,42.911293029785156,23.072416305541992,22.823726654052734,11.230940818786621,12.997984886169434
2010-02-17,43.16089630126953,23.282289505004883,22.629789352416992,11.110475540161133,13.066147804260254
2010-02-18,43.53192901611328,23.295827865600586,22.599489212036133,11.150629043579102,13.137412071228027
2010-02-19,43.375587463378906,23.180740356445312,22.72069549560547,11.088854789733887,13.15290641784668
2010-02-22,43.1580696105957,23.336442947387695,22.4964542388916,11.096574783325195,13.08474063873291
2010-02-23,43.035709381103516,22.99117088317871,22.126773834228516,10.920512199401855,12.796585083007812
2010-02-24,43.1308708190918,23.045333862304688,22.381315231323242,10.979201316833496,12.86784553527832
2010-02-25,43.015316009521484,23.180740356445312,22.163131713867188,10.920512199401855,12.877144813537598
2010-02-26,42.82497787475586,23.248441696166992,22.351009368896484,10.983834266662598,12.923619270324707
2010-03-01,43.090087890625,23.234895706176758,22.587360382080078,11.125917434692383,13.028966903686523
2010-03-02,43.12408447265625,23.390605926513672,22.66008758544922,11.122830390930176,13.320218086242676
2010-03-03,43.09688949584961,23.234895706176758,22.55101203918457,11.206229209899902,13.487536430358887
2010-03-04,43.212440490722656,23.383846282958984,22.508577346801758,11.192331314086914,13.395672798156738
2010-03-05,43.53192901611328,23.756187438964844,22.72069549560547,11.40236759185791,13.510904312133789
2010-03-08,43.640689849853516,23.64787483215332,22.635845184326172,11.507390022277832,13.50770378112793
2010-03-09,43.68827819824219,23.735883712768555,22.447967529296875,11.512018203735352,13.411677360534668
2010-03-10,43.701881408691406,23.925439834594727,22.223739624023438,11.617042541503906,13.322052001953125
2010-03-11,43.65427780151367,24.250410079956055,22.58504867553711,11.635574340820312,13.354061126708984
2010-03-12,43.627105712890625,24.324874877929688,22.756528854370117,11.700438499450684,13.069186210632324
2010-03-15,43.89220428466797,24.3790340423584,23.117830276489258,11.637121200561523,13.203619003295898
2010-03-16,43.8650016784668,24.494131088256836,23.234188079833984,11.981521606445312,13.2388277053833
2010-03-17,43.946598052978516,24.521217346191406,23.31992530822754,12.021677017211914,13.219624519348145
2010-03-18,44.22528076171875,24.615989685058594,23.5465030670166,11.958356857299805,13.2676362991333
2010-03-19,44.25927734375,24.487354278564453,23.30767059326172,12.018587112426758,13.2388277053833
2010-03-22,44.25248718261719,24.73785400390625,23.45465087890625,11.930557250976562,13.22602653503418
2010-03-23,44.42919921875,24.792016983032227,23.577119827270508,12.14522933959961,13.213223457336426
2010-03-24,44.014556884765625,24.54828453063965,23.27705192565918,12.220905303955078,12.937945365905762
2010-03-25,43.89220428466797,24.358728408813477,23.13620376586914,12.313202857971191,12.825915336608887
2010-03-26,43.76304626464844,23.979610443115234,22.921865463256836,12.258170127868652,12.717085838317871
2010-03-29,44.062137603759766,24.013452529907227,23.203569412231445,12.300623893737793,12.870729446411133
